epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,390.327,1.08562,2.22331,1.38997,0.72599,0.72893,0.79292,0.55149,0.97259,1.4392,1.36576,0.00332652,0.00332652,0.00332652
2,767.348,1.05507,1.412,1.34242,0.7608,0.74583,0.79612,0.54425,1.04893,1.16455,1.45362,0.00659392,0.00659392,0.00659392
3,1142.9,1.11616,1.3269,1.38789,0.69422,0.49588,0.55546,0.34609,1.46793,2.05988,1.88432,0.00979532,0.00979532,0.00979532
4,1518.75,1.17824,1.32652,1.43069,0.72108,0.61174,0.68861,0.43647,1.25748,1.34093,1.59792,0.009703,0.009703,0.009703
5,1892.97,1.11911,1.1676,1.38787,0.82288,0.7493,0.8376,0.58615,1.04816,0.95765,1.41849,0.009604,0.009604,0.009604
6,2267.31,1.06785,1.06633,1.35292,0.85275,0.76013,0.85822,0.61397,1.02207,0.9037,1.40796,0.009505,0.009505,0.009505
7,2641.99,1.03957,0.99718,1.3336,0.88558,0.80221,0.88297,0.64541,0.9732,0.78953,1.34754,0.009406,0.009406,0.009406
8,3018.76,1.00573,0.94289,1.30888,0.87969,0.85247,0.91596,0.6827,0.92657,0.68824,1.2988,0.009307,0.009307,0.009307
9,3394.75,0.98891,0.90678,1.29358,0.90909,0.83065,0.91739,0.67367,0.91991,0.65717,1.3056,0.009208,0.009208,0.009208
10,3769.51,0.97568,0.86415,1.2857,0.8991,0.84061,0.92031,0.68806,0.88885,0.64546,1.28394,0.009109,0.009109,0.009109
11,4145.82,0.95197,0.84548,1.27267,0.91003,0.88424,0.93568,0.71959,0.82812,0.57331,1.21847,0.00901,0.00901,0.00901
12,4522.77,0.94589,0.82251,1.26388,0.91084,0.87893,0.92873,0.71563,0.83341,0.57045,1.22646,0.008911,0.008911,0.008911
13,4900.05,0.92768,0.79387,1.25315,0.9225,0.89809,0.94813,0.73747,0.7969,0.5241,1.20437,0.008812,0.008812,0.008812
14,5278.09,0.91417,0.77144,1.24348,0.93115,0.8885,0.94325,0.73047,0.82974,0.53643,1.22764,0.008713,0.008713,0.008713
15,5656.61,0.9082,0.76549,1.23686,0.93618,0.88907,0.94512,0.73755,0.81205,0.52169,1.20914,0.008614,0.008614,0.008614
16,6032.13,0.90266,0.75823,1.23748,0.93018,0.88906,0.9396,0.73162,0.80305,0.52123,1.20852,0.008515,0.008515,0.008515
17,6409.89,0.8921,0.74037,1.23041,0.92152,0.90792,0.94742,0.74618,0.78996,0.50238,1.2002,0.008416,0.008416,0.008416
18,6786.73,0.88093,0.71764,1.22369,0.9432,0.90741,0.95397,0.75387,0.79696,0.47707,1.1922,0.008317,0.008317,0.008317
19,7164.96,0.87278,0.7129,1.21928,0.9476,0.90116,0.95521,0.75992,0.76533,0.47204,1.16655,0.008218,0.008218,0.008218
