epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3515.44,0.76101,0.59782,1.16744,0.9055,0.90729,0.90713,0.71894,0.83601,0.71939,1.29325,0.007228,0.007228,0.007228
44,518.721,0.71891,0.54779,1.14041,0.90862,0.90302,0.90915,0.72011,0.83477,0.71926,1.29205,0.007162,0.007162,0.007162
45,1020.22,0.7332,0.56647,1.15004,0.90588,0.90426,0.90924,0.72018,0.83306,0.71882,1.29275,0.007096,0.007096,0.007096
46,1519.25,0.737,0.56791,1.15257,0.89707,0.91139,0.90927,0.71978,0.8325,0.72331,1.29295,0.00703,0.00703,0.00703
47,2014.36,0.73918,0.57794,1.15392,0.90091,0.90603,0.90858,0.71937,0.8341,0.72591,1.2949,0.006964,0.006964,0.006964
48,2510.32,0.73975,0.57646,1.15172,0.90213,0.90739,0.90834,0.71959,0.83451,0.72683,1.2949,0.006898,0.006898,0.006898
49,3006.22,0.7456,0.58116,1.1568,0.90163,0.90919,0.90738,0.7204,0.8352,0.72551,1.29633,0.006832,0.006832,0.006832
50,3502.04,0.7521,0.58401,1.16142,0.89958,0.9112,0.90862,0.72059,0.83361,0.72407,1.29515,0.006766,0.006766,0.006766
51,3996.39,0.75392,0.58685,1.16269,0.90114,0.90964,0.90831,0.72163,0.83091,0.72425,1.29276,0.0067,0.0067,0.0067
52,4489.24,0.74362,0.58458,1.15568,0.90025,0.91041,0.90933,0.72175,0.83012,0.72347,1.29264,0.006634,0.006634,0.006634
53,4983.06,0.7471,0.58509,1.15766,0.90654,0.90979,0.90956,0.72218,0.82941,0.71987,1.29241,0.006568,0.006568,0.006568
54,5478.02,0.74743,0.57805,1.1582,0.90318,0.91173,0.91,0.72159,0.82923,0.71821,1.29247,0.006502,0.006502,0.006502
55,5970.97,0.74939,0.58525,1.15848,0.89867,0.91267,0.90944,0.72139,0.82856,0.71855,1.29191,0.006436,0.006436,0.006436
